"id";"Pais";"Localidad";"Denominación Genérica";"Denominación Específica";"Código";"Naturaleza";"Tipo"
23506;"ESPAÑA";"Infesta";"Centro Integrado (Varias enseñanzas de Régimen General)";"DE PONTECESURES";36007621;"Centro público";0
23507;"ESPAÑA";"Porto-Cabeiro";"Colegio Público";"DE PORTO CABEIRO";36007631;"Centro público";0
23508;"ESPAÑA";"Outeiro das Penas";"Colegio Público";"OUTEIRO DAS PENAS";36007643;"Centro público";0
23509;"ESPAÑA";"Santo Paio de Abaixo";"Colegio Público";"DE SAN PAIO DE ABAIXO";36007709;"Centro público";0
23510;"ESPAÑA";"Redondela";"Colegio Público";"SANTA MARIÑA";36007710;"Centro público";0
23511;"ESPAÑA";"Redondela";"Instituto de Educación Secundaria (IES)";"MENDIÑO";36007734;"Centro público";0
23512;"ESPAÑA";"Barrantes";"Centro Integrado (Varias enseñanzas de Régimen General)";"JULIA BECERRA MALVAR";36007813;"Centro público";0
23513;"ESPAÑA";"Rodeiro";"Centro Integrado (Varias enseñanzas de Régimen General)";"DE RODEIRO";36008155;"Centro público";0
23514;"ESPAÑA";"Couso";"Colegio Público";"DE COUSO";36008258;"Centro público";0
23515;"ESPAÑA";"Lavandeira";"Colegio Público";"ALTAMIRA";36008489;"Centro público";0
23516;"ESPAÑA";"Lagoa";"Colegio Público";"INFANTE FELIPE DE BORBON";36008751;"Centro público";0
23517;"ESPAÑA";"Portonovo";"Colegio Público";"DE PORTONOVO";36008805;"Centro público";0
23518;"ESPAÑA";"Magalans";"Colegio Público";"MAGALANS-DORRON";36008829;"Centro público";0
23519;"ESPAÑA";"Florida";"Colegio Público";"A FLORIDA";36008866;"Centro público";0
23520;"ESPAÑA";"O Cruceiro";"Colegio Público";"CRUCEIRO";36008878;"Centro público";0
23521;"ESPAÑA";"Bandeira";"Colegio Público";"DE BANDEIRA";36009032;"Centro público";0
23522;"ESPAÑA";"Ferrozos";"Instituto de Formación Profesional";"C.DE CAPACITACION AGRARIA";36009056;"Centro público";0
23523;"ESPAÑA";"Silleda";"Centro Privado con varias Enseñanzas de Régimen General";"MARIA INMACULADA";36009123;"Centro privado";1
23524;"ESPAÑA";"Silleda";"Colegio Público";"DE SILLEDA";36009135;"Centro público";0
23525;"ESPAÑA";"Montesiña";"Centro Privado con varias Enseñanzas de Régimen General";"SANTIAGO APOSTOL";36009147;"Centro privado";1
23526;"ESPAÑA";"Arcade de Riba";"Centro Integrado (Varias enseñanzas de Régimen General)";"MANUEL PADIN TRUITEIRO";36009172;"Centro público";0
23527;"ESPAÑA";"Avenida Ordoñez";"Colegio Público";"PINTOR ANTONIO FERNANDEZ";36009411;"Centro público";0
23528;"ESPAÑA";"Igrexa";"Colegio Público";"DE TEBRA";36009494;"Centro público";0
23529;"ESPAÑA";"O Mosteiro";"Colegio Público";"PEDRO CASELLES BELTRAN";36009524;"Centro público";0
23530;"ESPAÑA";"Baños";"Centro Privado de Educación  Especial";"CENTRO NEUROPSICOPEDAGOGICO EL PELOURO";36009627;"Centro privado";2
23531;"ESPAÑA";"Baños";"Escuela de Educación Infantil";"DE CALDELAS";36009639;"Centro público";0
23532;"ESPAÑA";"Estrada";"Escuela de Educación Infantil";"DE MALVAS";36009718;"Centro público";0
23533;"ESPAÑA";"Porteliña";"Colegio Público";"DE PAZOS DE REIS";36009755;"Centro público";0
23534;"ESPAÑA";"Tui";"Colegio Público";"N-1";36009846;"Centro público";0
23535;"ESPAÑA";"Tui";"Centro Privado de Educación Infantil";"SAGRADA FAMILIA";36009871;"Centro privado";2
23536;"ESPAÑA";"Tui";"Centro Privado con varias Enseñanzas de Régimen General";"SEMINARIO MENOR DIOCESANO SAN PAIO";36009883;"Centro privado";1
23537;"ESPAÑA";"Tui";"Colegio Público";"N-2";36009895;"Centro público";0
23538;"ESPAÑA";"Tui";"Instituto de Educación Secundaria (IES)";"SAN PAIO";36009901;"Centro público";0
23539;"ESPAÑA";"Baño";"Colegio Público";"BAÑO-XANZA";36009913;"Centro público";0
23540;"ESPAÑA";"Vigo";"Centro Privado con varias Enseñanzas de Régimen General";"AMOR DE DIOS";36009925;"Centro privado";1
23541;"ESPAÑA";"Castañal";"Colegio Público";"JAVIER SENSAT";36009949;"Centro público";0
23542;"ESPAÑA";"Carneiras";"Colegio Público";"OTERO PEDRAYO";36009962;"Centro público";0
